Authors,Link,Tickers,Time,Title,Strategy
" Apr. 28, 2017, 2:46 PM ",/article/4066811-centerra-gold-60-percent-70-percent-upside-potential-gold-miner,Editors' Pick , CAGDF,Centerra Gold: 60% To 70% Upside Potential For This Gold Miner,Long
 Alpha Max,/article/4066761-amd-post-earnings-rally,AMD," Apr. 28, 2017, 1:42 PM ",AMD: Post-Earnings Rally?,Long
 Deliverance Capital,/article/4066766-first-solar-bad-business-reasonable-price,FSLR," Apr. 28, 2017, 1:17 PM ",First Solar Is A Bad Business At A Reasonable Price,Long
 Nick Cox,/article/4066747-etsy-interesting-takeover-play-q1-earnings-loom,ETSY," Apr. 28, 2017, 1:04 PM ",Etsy An Interesting Takeover Play As Q1 Earnings Loom,Long
 Quad 7 Capital,/article/4066722-gm-big-prediction,GM," Apr. 28, 2017, 11:52 AM ",GM: A Big Prediction,Long
 Giovanni DiMauro,/article/4066702-bp-plc-uses-technology-discover-200m-barrels-oil-gulf-mexico-strong-buy,BP," Apr. 28, 2017, 11:51 AM ",BP Plc Uses Technology To Discover 200M Barrels Of Oil In The Gulf Of Mexico: Strong BUY,Long
 Hudson River Capital Research,/article/4066693-auris-medical-company-overview,EARS," Apr. 28, 2017, 11:28 AM ",Auris Medical Company Overview,Long
 Long Player,/article/4066688-carbo-ceramics-bulls-way,CRR," Apr. 28, 2017, 11:11 AM ",Carbo Ceramics Bulls Its Way,Long
 Quad 7 Capital,/article/4066684-exxon-obvious,XOM," Apr. 28, 2017, 10:30 AM ",Exxon: It Should Be Obvious To You,Long
 George Rho,/article/4066632-genworth-financial-attractive-arbitrage-profit-potential,GNW," Apr. 28, 2017, 9:13 AM ",Genworth Financial: Attractive Arbitrage Profit Potential,Long
" Apr. 28, 2017, 9:08 AM ",/article/4065992-appfolio-intriguing-radar-growth-story-big-boy-valuation,Editors' Pick , APPF,AppFolio: An Intriguing Under-The-Radar Growth Story With A 'Big Boy' Valuation,Long
 RobinhoodStrategy,/article/4066639-visa-growth-reaffirmed,V," Apr. 28, 2017, 8:57 AM ",Visa: Growth Reaffirmed,Long
" Apr. 28, 2017, 8:35 AM ",/article/4065979-telekomunikasi-indonesia-prime-beneficiary-fast-growing-indonesian-cellular-industry,Editors' Pick , TLK,Telekomunikasi Indonesia: Prime Beneficiary Of The Fast-Growing Indonesian Cellular Industry,Long
 Mark Gottlieb,/article/4066609-h-r-1694-legislation-passes-can-game-changer-fannie-freddie,"FNMA, FMCC"," Apr. 28, 2017, 7:32 AM ",H.R. 1694 Legislation Passes And Can Be A Game Changer For Fannie And Freddie,Long
" Apr. 28, 2017, 7:19 AM ",/article/4065946-k2m-track-gaining-share-continuing-disrupt,Editors' Pick , KTWO,"K2M On Track, Gaining Share, And Continuing To Disrupt",Long
 Kumquat Research,/article/4066584-starbucks-buy-drop,SBUX," Apr. 28, 2017, 4:01 AM ",Starbucks: Buy On The Drop?,Long
 Daniel Jones,/article/4066580-whiting-petroleums-stellar-news,WLL," Apr. 28, 2017, 3:41 AM ",Whiting Petroleum's Stellar News,Long
 Damitha Pathmalal,/article/4066576-peabody-market-ire-obscures-secular-tailwinds,BTU," Apr. 28, 2017, 3:12 AM ",Peabody: Market Ire Obscures Secular Tailwinds,Long
 Harshal Patel,/article/4066569-t-rowe-price-potential-good-investment,TROW," Apr. 28, 2017, 2:34 AM ",T. Rowe Price: A Potential Good Investment,Long
 Activist Stocks,/article/4066463-david-einhorn-gm-tough-fight,GM," Apr. 27, 2017, 9:28 PM ",David Einhorn: GM Is A Tough Fight,Long
 Eric Nickolaison,/article/4066437-yum-china-holdings-post-spin,YUMC," Apr. 27, 2017, 7:50 PM ",Yum China Holdings Post Spin-Off,Long
 Victor Dergunov,/article/4066401-teslas-revenues-accelerate-can-investors-expect-going-forward,TSLA," Apr. 27, 2017, 6:41 PM ","As Tesla's Revenues Accelerate, What Can Investors Expect Going Forward?",Long
 DoctoRx,/article/4066326-alexion-among-best-risk-reward-biotech,ALXN," Apr. 27, 2017, 4:49 PM ",Alexion - Among The Best Risk/Reward In Biotech?,Long
 Jonathan Weber,/article/4066345-bristol-myers-squibb-becoming-increasingly-attractive-target,BMY," Apr. 27, 2017, 4:44 PM ",Bristol-Myers Squibb: Becoming An Increasingly Attractive Target,Long
 Quad 7 Capital,/article/4066312-american-express-like-american-slowdown,AXP," Apr. 27, 2017, 3:51 PM ",American Express? More Like American Slowdown,Long
 Bert Hochfeld,/article/4066275-sap-emperor-application-software-world-takes-bow,SAP," Apr. 27, 2017, 3:42 PM ",SAP - The Emperor Of The Application Software World Takes A Bow,Long
 Zoltan Ban,/article/4066270-noble-energy-becomes-intriguing-long-term-investment-target-israel-europe-pipeline,NBL," Apr. 27, 2017, 3:38 PM ",Noble Energy Becomes Intriguing Long-Term Investment Target With Israel-Europe Pipeline,Long
 Morningsidepark,/article/4066298-dryships-inc-repays-last-third-party-loan-updates-stock-issuance,DRYS," Apr. 27, 2017, 3:37 PM ",DryShips Inc: Repays Last Third Party Loan And Updates On Stock Issuance,Long
 Silky Oak Capital,/article/4066295-spanish-broadcasting-bet-deleveraging,SBSA," Apr. 27, 2017, 3:35 PM ",Spanish Broadcasting: A Bet On Deleveraging,Long
 Zhi Xian Lim,/article/4066262-shake-shack-hidden-impetus,SHAK," Apr. 27, 2017, 3:34 PM ",Shake Shack - Hidden Impetus,Long
" Apr. 27, 2017, 3:28 PM ",/article/4065660-neurotrope-bioscience-interesting-binary-event,Editors' Pick , NTRP,Neurotrope BioScience: An Interesting Binary Event,Long
 Bouin Benjamin,/article/4066216-coach-represents-great-opportunity,TPR," Apr. 27, 2017, 2:33 PM ",Coach Represents A Great Opportunity,Long
 DoctoRx,/article/4066201-amgens-q1-shows-challenges-growth-opportunities-aplenty,AMGN," Apr. 27, 2017, 2:08 PM ",Amgen's Q1 Shows Challenges And Growth Opportunities Aplenty,Long
 Northern Resources Report,/article/4066198-hudbay-minerals-back-track-growth-debt-reduction,HBM," Apr. 27, 2017, 2:05 PM ",Hudbay Minerals - Back On Track With Growth And Debt Reduction,Long
 Societe Financiers,/article/4066209-foot-locker-grab-sneakers-strongest-specialty-retailer,FL," Apr. 27, 2017, 1:55 PM ",Foot Locker: Grab Some Sneakers With The Strongest Specialty Retailer,Long
 Richmond Howard,/article/4066156-will-shopify-continue-outperform,SHOP," Apr. 27, 2017, 1:42 PM ",Will Shopify Continue To Outperform?,Long
 Activist Stocks,/article/4066130-whole-foods-simply-bridesmaid,AMZN," Apr. 27, 2017, 1:00 PM ",Whole Foods: Simply A Bridesmaid,Long
 FI Fighter,/article/4066111-pilbara-minerals-lithium-favor-shares-sale,PILBF," Apr. 27, 2017, 12:29 PM ",Pilbara Minerals - Lithium Is Out Of Favor So Shares Are On Sale,Long
 Ryan Surber,/article/4066128-sigma-designs-gobbled-george-soros-buyers,SIGM," Apr. 27, 2017, 12:21 PM ","Sigma Designs Gobbled Up By George Soros, Should We Be Buyers?",Long
 Stone Fox Capital,/article/4066121-paypal-huge-buyback-plan,PYPL," Apr. 27, 2017, 12:08 PM ",PayPal: About That Huge Buyback Plan,Long
 Michael Boyd,/article/4066114-wynn-resorts-buy-momentum,WYNN," Apr. 27, 2017, 12:03 PM ",Wynn Resorts: Buy Into The Momentum?,Long
 Alexander Korzhakov,/article/4066101-dixy-group-good-news-russian-retailer,Editors' Pick ," Apr. 27, 2017, 11:41 AM ",Dixy Group: Good News From A Russian Retailer,Long
 Rajat Sharma,/article/4066100-buy-infosys,INFY," Apr. 27, 2017, 11:39 AM ",Why You Should Buy Infosys,Long
 Quad 7 Capital,/article/4066085-citigroup-handle-rising-expectations,C," Apr. 27, 2017, 11:04 AM ",Citigroup: How To Handle Rising Expectations,Long
 Anthony Bonsignore,/article/4063753-gilead-sciences-long-term-buy,GILD," Apr. 27, 2017, 11:00 AM ",Gilead Sciences A Long Term Buy,Long
 Joseph Nastasi,/article/4066056-amc-entertainment-recent-acquisitions-create-value-shareholders,AMC," Apr. 27, 2017, 10:21 AM ",AMC Entertainment: Recent Acquisitions Create Value For Shareholders,Long
 Edison Investment Research,/article/4066045-samsung-q1-roaring-40s,SSNLF," Apr. 27, 2017, 10:00 AM ",Samsung Q1: Roaring 40s,Long
 Zach Hartman,/article/4066043-3-things-biotech-learn-today-april-28-2017,"ALNY, LLY, NVS"," Apr. 27, 2017, 9:54 AM ","3 Things In Biotech You Should Learn Today: April 28, 2017",Long
 Alessandro Pasetti,/article/4066019-ford-bears,F," Apr. 27, 2017, 9:52 AM ",Ford: Where Are The Bears?,Long
 Fabio Herrero,/article/4065987-lion-one-will-next-gold-mine-fiji,LOMLF," Apr. 27, 2017, 9:23 AM ",Lion One Will Be The Next Gold Mine In Fiji,Long
 Renaissance Research,/article/4066020-lloyds-firing-cylinders,LYG," Apr. 27, 2017, 9:22 AM ",Lloyds: Firing On All Cylinders,Long
 Mauricio Carrillo,/article/4065972-wells-fargo-buffett-approved-stock-sale,WFC," Apr. 27, 2017, 8:50 AM ",Wells Fargo: A Buffett Approved Stock Is On Sale,Long
 Douglas Adams,/article/4063701-cummins-bust-renaissance,CMI," Apr. 27, 2017, 8:42 AM ",Cummins: From Bust To Renaissance,Long
 Orthodox Investor,/article/4065949-phillips-66-buy-current-price,PSX," Apr. 27, 2017, 7:55 AM ",Is Phillips 66 A Buy At Current Price?,Long
 Castle Consumer Investing,/article/4065926-ferrari-time-high-can-go-higher,RACE," Apr. 27, 2017, 6:02 AM ",Ferrari: At An All-Time High But Can Go Higher,Long
 Long Player,/article/4065917-sanchez-energy-increases-production-50-percent,SN," Apr. 27, 2017, 3:18 AM ",Sanchez Energy Increases Production More Than 50%,Long
 David Zanoni,/article/4065908-cadence-design-systems-iot-autos-cloud-oh,CDNS," Apr. 27, 2017, 1:57 AM ","Cadence Design Systems: IoT, Autos, And Cloud, Oh My",Long
 Michael Thomas,/article/4065887-costco-overvalued,COST," Apr. 27, 2017, 1:28 AM ",Is Costco Overvalued?,Long
 John Longsworth,/article/4065894-vmware-poised-continue-run,VMW," Apr. 27, 2017, 1:21 AM ",VMware Is Poised To Continue Its Run,Long
 Robert Altabet,/article/4065865-energizer-vs-duracell-market-share-story,ENR," Apr. 27, 2017, 12:23 AM ",The Energizer Vs. Duracell Market Share Story,Long
 ChartMasterPro,/article/4065868-j-b-hunt-steady-growth-continue,JBHT," Apr. 26, 2017, 11:58 PM ",J.B. Hunt: Steady Growth To Continue,Long
 SqueezeMetrics,/article/4065854-time-talk-valeant,VRX," Apr. 26, 2017, 11:24 PM ",It's Time To Talk About Valeant,Long
 Crunching Numbers,/article/4065797-gold-miner-money-pit,GSS," Apr. 26, 2017, 8:03 PM ",Is This Gold Miner More Than A Money Pit?,Long
 ValuEye Research,/article/4065784-valuing-first-solar-comprehensive-analysis,FSLR," Apr. 26, 2017, 7:26 PM ",Valuing First Solar - A Comprehensive Analysis,Long
 Joseph Carey,/article/4065684-omnicell-mediocre-financials-best-class-products,OMCL," Apr. 26, 2017, 4:19 PM ","Omnicell: Mediocre Financials, Best In Class Products",Long
 SyndicateDatabase,/article/4065661-odd-lot-tender,GECC," Apr. 26, 2017, 4:00 PM ",Odd-Lot Tender,Long
 Upside Research,/article/4065643-novocure-radar-biotech-successful-new-trials-revenue-growth-part-1,NVCR," Apr. 26, 2017, 3:37 PM ","NovoCure: An Under-The-Radar Biotech With Successful New Trials And Revenue Growth, Part 1",Long
 Healthy Wealth Coach,/article/4065655-noble-corp-great-way-play-inevitable-rebound-offshore-drilling-sector,NE," Apr. 26, 2017, 3:20 PM ",Noble Corp. Is A Great Way To Play The Inevitable Rebound In The Offshore Drilling Sector,Long
 ALT Perspective,/article/4065634-ihs-markit-war-chest-refilled-acquisitions,INFO," Apr. 26, 2017, 3:11 PM ",IHS Markit: War Chest Is Refilled For Acquisitions,Long
 Kayode Omotosho,/article/4065612-fortinet-road-market-dominance-begins,FTNT," Apr. 26, 2017, 2:52 PM ",Fortinet: The Road To Market Dominance Begins,Long
 Quad 7 Capital,/article/4065630-major-problem-and-t,T," Apr. 26, 2017, 2:49 PM ",This Is A Major Problem For AT&T,Long
 Kumquat Research,/article/4065629-seagate-buy-drop,STX," Apr. 26, 2017, 2:48 PM ",Seagate: Buy On The Drop?,Long
 Hudson River Capital Research,/article/4065595-celgene-must-stock,CELG," Apr. 26, 2017, 2:38 PM ",Celgene Is A Must-Own Stock,Long
 Greg Wajda,/article/4065589-vera-bradley-suprising-survivor-amazon-apocalypse,VRA," Apr. 26, 2017, 2:30 PM ",Vera Bradley: The Suprising Survivor Of The Amazon Apocalypse,Long
 Long Player,/article/4065578-next-move-pengrowth-energy,PGH," Apr. 26, 2017, 1:51 PM ",The Next Move For Pengrowth Energy,Long
 Gary Bourgeault,/article/4065576-analyzing-amazon-based-short-term-results-work-matter,AMZN," Apr. 26, 2017, 1:45 PM ",Why Analyzing Amazon Based On Short-Term Results Doesn't Work Or Matter,Long
 Castle Consumer Investing,/article/4065568-tiffany-and-co-now-time-invest,TIF," Apr. 26, 2017, 1:35 PM ",Tiffany & Co: Now Is The Time To Invest,Long
 Courage & Conviction Investing,/article/4065561-gnc-short-interest-channel-check-update,GNC," Apr. 26, 2017, 1:33 PM ",GNC: Short Interest And Channel Check Update,Long
 Orthodox Investor,/article/4065554-freeport-mcmoran-indonesian-issues-continue-weigh-profitability,FCX," Apr. 26, 2017, 1:28 PM ",Freeport-McMoRan: Indonesian Issues Continue To Weigh On Profitability,Long
 Giovanni DiMauro,/article/4065518-one-6_9-percent-dividend-stock-buy-today-bp,BP," Apr. 26, 2017, 1:14 PM ",One 6.9% Dividend Stock To Buy Today: BP,Long
 Out of Ignorance,/article/4065525-synergy-pharmaceuticals-set-success,SGYP," Apr. 26, 2017, 12:50 PM ",Synergy Pharmaceuticals: Set For Success,Long
 Daniel Jones,/article/4065504-legacy-reserves-somethings-strange,LGCY," Apr. 26, 2017, 12:49 PM ",Legacy Reserves: Something's Strange,Long
 Mark Gottlieb,/article/4065519-fannie-freddie-huge-upside-says-highly-regarded-value-investor,"FNMA, FMCC"," Apr. 26, 2017, 12:44 PM ","Fannie And Freddie Have Huge Upside, Says Highly-Regarded Value Investor",Long
 Stock Market Sherpa,/article/4065499-syntel-demonstrates-power-free-cash-flow,SYNT," Apr. 26, 2017, 12:37 PM ",Syntel Demonstrates The Power Of Free Cash Flow,Long
" Apr. 26, 2017, 12:26 PM ",/article/4064982-tianjin-zhong-xin-pharmaceutical-discount-shares-peers-narrow-time,Editors' Pick , TZHGF,Tianjin Zhong Xin Pharmaceutical: Discount To A-Shares And Peers Should Narrow Over Time,Long
 FI Fighter,/article/4065496-endeavour-silver-silver-producer-near-term-growth-potential,EXK," Apr. 26, 2017, 12:22 PM ",Endeavour Silver - Silver Producer With Near-Term Growth Potential,Long
" Apr. 26, 2017, 12:02 PM ",/article/4064967-camden-poised-outperform-peer-multifamily-reits,Editors' Pick , CPT,Camden Is Poised To Outperform Peer Multifamily REITs,Long
" Apr. 26, 2017, 11:59 AM ",/article/4065498-rising-profits-facebook,Editors' Pick , FB,Rising Profits At Facebook,Long
 J. M. Manness,/article/4065475-ibm-q1-2017-interesting-note,IBM," Apr. 26, 2017, 11:51 AM ",IBM Q1 2017: An Interesting Note,Long
 Kumquat Research,/article/4065477-u-s-steel-hold-drop,X," Apr. 26, 2017, 11:48 AM ",U.S. Steel: Hold On Drop,Long
 Asymmetric Investing,/article/4065487-northern-dynasty-nak-day-mining-stocks-bummed,NAK," Apr. 26, 2017, 11:35 AM ",Northern Dynasty: Had A NAK Day While Mining Stocks Were Bummed,Long
 Sam Tiahnybik,/article/4065486-rand-capital-40-percent-discount-growing-net-asset-value,RAND," Apr. 26, 2017, 11:35 AM ",Rand Capital - 40% Discount To A Growing Net Asset Value,Long
" Apr. 26, 2017, 11:34 AM ",/article/4065485-word-wall-street-amazon-international-margin-upside-focus,Editors' Pick , AMZN,Word On Wall Street: Amazon International And Margin Upside In Focus,Long
 ONeil Trader,/article/4065481-egalet-bottom-sight,EGLT," Apr. 26, 2017, 11:30 AM ",Egalet: Is There A Bottom In Sight?,Long
 Tim Dunn,/article/4065473-deltas-international-strategies-poised-deliver-bottom-line-boost,DAL," Apr. 26, 2017, 11:27 AM ",Delta's International Strategies Are Poised To Deliver Bottom Line Boost,Long
" Stephen Simpson, CFA",/article/4065474-abb-fills-gap-work,ABB," Apr. 26, 2017, 11:08 AM ","ABB Fills A Gap, But Has More Work To Do",Long
 StrategyDoc,/article/4065461-mcdonalds-remembered-golden-arches-got-built,MCD," Apr. 26, 2017, 11:02 AM ",McDonald's: They Remembered How The Golden Arches Got Built,Long
 Bram de Haas,/article/4065459-royalty-company-pick,RGLD," Apr. 26, 2017, 10:55 AM ",Which Royalty Company To Pick Up,Long
 Stone Fox Capital,/article/4065472-twitter-engagement-acceleration-key,TWTR," Apr. 26, 2017, 10:50 AM ",Twitter: Engagement Acceleration Was Key,Long
 The First Mover,/article/4065466-secret-bank-america-investment-bank-almost-unlimited-growth-space,BAC," Apr. 26, 2017, 10:47 AM ",The Secret Of Bank Of America: The Investment Bank And Almost Unlimited Growth Space,Long
 Alex Thiam,/article/4065453-armour-heading-north,UAA," Apr. 26, 2017, 10:40 AM ",Under Armour Heading North?,Long
 Travis Brown,/article/4065464-gopros-broadcasting-surpassing-monster-energy-coca-cola,GPRO," Apr. 26, 2017, 10:40 AM ",GoPro's Broadcasting Surpassing Monster Energy And Coca-Cola,Long
 Zach Hartman,/article/4065446-3-things-biotech-learn-today-april-26-2017,"BTX, CAPR, GERN"," Apr. 26, 2017, 9:59 AM ","3 Things In Biotech You Should Learn Today: April 26, 2017",Long
" George Atuan, CFA",/article/4065426-nyx-2017-may-year-catalyst,NXXYF," Apr. 26, 2017, 9:55 AM ",NYX: 2017 May Be The Year Of The Catalyst,Long
 Michael Boyd,/article/4065441-u-s-concrete-hidden-gem-industrial-sector,USCR," Apr. 26, 2017, 9:53 AM ",U.S. Concrete: Hidden Gem In The Industrial Sector,Long
 Nick Cox,/article/4065408-gw-pharma-favorable-developments-epilepsy-solution,GWPH," Apr. 26, 2017, 9:42 AM ",GW Pharma: Favorable Developments For Epilepsy Solution,Long
 First Floor Finance,/article/4063344-just-keep-buying-stanley-black-and-decker,SWK," Apr. 26, 2017, 9:06 AM ",Just Keep On Buying Stanley Black & Decker,Long
 Biotechnocrat,/article/4065377-valeant-can-beat-guidance,VRX," Apr. 26, 2017, 8:02 AM ",Valeant Can Beat Guidance,Long
 Chuck McDulin,/article/4065366-surgery-partners-highly-probable-ambulatory-surgery-center-acquisition-target,SGRY," Apr. 26, 2017, 7:51 AM ",Surgery Partners: Highly Probable Ambulatory Surgery Center Acquisition Target,Long
" Apr. 26, 2017, 7:30 AM ",/article/4062873-madison-square-garden-top-teams-top-restaurants-top-concert-venues,Editors' Pick , MSG,"Madison Square Garden: Top Teams, Top Restaurants, Top Concert Venues",Long
 Oil Industry Trends & Insights,/article/4065362-chevrons-refined-product-sales-profitable-exxon-mobil,"CVX, XOM"," Apr. 26, 2017, 7:28 AM ",Chevron's Refined Product Sales Are More Profitable Than Exxon Mobil,Long
 Dividend Stream,/article/4065217-t-mobile-buy-disruptor,TMUS," Apr. 25, 2017, 10:08 PM ",T-Mobile: Buy The Disruptor,Long
 Gary Milne,/article/4065204-orbcomm-stars-align-2017,ORBC," Apr. 25, 2017, 9:02 PM ",ORBCOMM: The Stars Align In 2017,Long
 Callum Turcan,/article/4065165-chesapeakes-redemption-moment,CHK," Apr. 25, 2017, 5:58 PM ",Chesapeake's Redemption Moment,Long
 Sergey Alifanov,/article/4063184-scana-promising-future-despite-westinghouse-woes,SCG," Apr. 25, 2017, 5:49 PM ",SCANA: Promising Future Despite Westinghouse Woes,Long
 Safe Bet Investments,/article/4063179-samsung-undervalued-tech-giant,SSNLF," Apr. 25, 2017, 5:33 PM ",Samsung: An Undervalued Tech Giant,Long
" Raymond Caron, Ph.D.",/article/4065123-amd-ryzen-boon-scientific-research-development,AMD," Apr. 25, 2017, 4:46 PM ",AMD Ryzen: A Boon To Scientific Research And Development,Long
 Callum Turcan,/article/4065119-exxon-shareholders-get-ready-another-quarter-black,XOM," Apr. 25, 2017, 4:36 PM ",Exxon Shareholders Should Get Ready For Another Quarter In The Black,Long
 The Value Investor,/article/4065128-w-w-grainger-valuation-reset-management-addressing-changing-marketplace,GWW," Apr. 25, 2017, 4:30 PM ",W. W. Grainger - Valuation Has Been Reset As Management Is Addressing A Changing Marketplace,Long
 Black Coral Research,/article/4065127-dunkin-brands-primed-buyout,DNKN," Apr. 25, 2017, 4:28 PM ",Dunkin' Brands Primed For A Buyout,Long
 Kenra Investors,/article/4065107-skechers-international-growth-focus,SKX," Apr. 25, 2017, 4:23 PM ",Skechers - International Growth Is What We Should Focus On,Long
 Jonathan Wheeler,/article/4065099-mckesson-remains-undervalued,MCK," Apr. 25, 2017, 4:11 PM ",McKesson Remains Undervalued,Long
" Apr. 25, 2017, 3:56 PM ",/article/4064699-stonemor-misunderstood-deathcare-company-offers-50minus-100-percent-12-month-return-potential,Editors' Pick , STON,StoneMor: Misunderstood Deathcare Company Offers 50-100% 12-Month Return Potential For Opportunistic Investors,Long
 Celeritas Investments,/article/4065077-sibanye-time-add,SBGL," Apr. 25, 2017, 3:28 PM ",Sibanye: Time To Add?,Long
 Josh Arnold,/article/4065068-honeywell,HON," Apr. 25, 2017, 3:16 PM ",Honeywell Does It Again,Long
 Michael Wiggins De Oliveira,/article/4065065-ralph-lauren-executing-way-forward-plan,RL," Apr. 25, 2017, 3:13 PM ",Ralph Lauren: Executing Its Way Forward Plan,Long
 Alessandro Pasetti,/article/4065083-fords-slide-drives-bulls-mad-likely-last-laugh,F," Apr. 25, 2017, 3:10 PM ","Ford's Slide Drives The Bulls Mad, But They'll Likely Have The Last Laugh",Long
 Moneybear Research,/article/4063144-start-sipping-boston-beer-company-52-week-lows,SAM," Apr. 25, 2017, 3:05 PM ",Start Sipping On Boston Beer Company At 52-Week Lows,Long
 Carlo Forattini,/article/4063143-boeing-still-underpriced-despite-recent-rally,BA," Apr. 25, 2017, 3:01 PM ",Boeing Still Underpriced Despite Recent Rally,Long
 Sacratus,/article/4065059-emotional-sentiment,NRZ," Apr. 25, 2017, 2:59 PM ",Emotional Sentiment,Long
 Quad 7 Capital,/article/4065075-coca-cola-really-think-last,KO," Apr. 25, 2017, 2:56 PM ","Coca-Cola: You Didn't Really Think It Would Last, Did You?",Long
 Kumquat Research,/article/4065063-express-scripts-buy-drop,ESRX," Apr. 25, 2017, 2:40 PM ",Express Scripts: Buy On The Drop?,Long
 Mateo Valdivieso,/article/4065007-mercadolibre-latin-america-e-commerce-giant,MELI," Apr. 25, 2017, 2:37 PM ",MercadoLibre: The Latin America E-Commerce Giant,Long
 Kumquat Research,/article/4065052-netflix-china-last,NFLX," Apr. 25, 2017, 2:21 PM ",Netflix: China At Last?,Long
 David Butler,/article/4065034-ford-vs-tesla,"F, TSLA"," Apr. 25, 2017, 1:51 PM ",Ford Vs. Tesla,Long
" Apr. 25, 2017, 1:48 PM ",/article/4064651-martinrea-international-improving-margins-drive-share-price-higher,Editors' Pick , MRETF,Martinrea International: Improving Margins To Drive Share Price Higher,Long
 Canadian Dividend Growth Investor,/article/4065025-express-scripts-bargain-shares-fallen-12-percent,ESRX," Apr. 25, 2017, 1:36 PM ",Is Express Scripts A Bargain After Shares Have Fallen 12%?,Long
 Damitha Pathmalal,/article/4065016-sony-ps4-sell-19-million-units-year,SNE," Apr. 25, 2017, 1:22 PM ",Sony: Why The PS4 Could Sell 19 Million Units This Year,Long
" Liang Zhao, CFA",/article/4065009-know-tencent,TCEHY," Apr. 25, 2017, 1:11 PM ",What You Should Know About Tencent,Long
 DoctoRx,/article/4064995-biogen-jumps-q1-results-analysis,BIIB," Apr. 25, 2017, 12:51 PM ",Biogen Jumps On Q1 Results: Analysis,Long
" Apr. 25, 2017, 12:46 PM ",/article/4064628-padini-holdings-value-go-fashion,Editors' Pick , PDNIF,Padini Holdings: Value Does Not Go Out Of Fashion,Long
 Quad 7 Capital,/article/4064988-csx-get-run,CSX," Apr. 25, 2017, 12:41 PM ",CSX: Don't Get Run Over,Long
" Apr. 25, 2017, 12:15 PM ",/article/4064619-guangshen-railway-potential-lot-rides-reform,Editors' Pick , GSH,"Guangshen Railway Has Potential, But A Lot Rides On Reform",Long
" Apr. 25, 2017, 12:14 PM ",/article/4064618-itv-investors-still-seem-undervaluing-much-changed-diverse-business,Editors' Pick , ITVPY,"ITV: Investors Still Seem To Be Undervaluing A Much Changed, Diverse Business",Long
 Vince Martin,/article/4064972-tile-shop-q1-earnings-set-stage-upside,TTS," Apr. 25, 2017, 12:14 PM ",Tile Shop: Q1 Earnings Set The Stage For More Upside,Long
 Patrick Mayles,/article/4064958-synergy-pharmaceuticals-next,SGYP," Apr. 25, 2017, 12:11 PM ",Synergy Pharmaceuticals: Where To Next?,Long
 Eric Nickolaison,/article/4064971-autonation-looking-cheap-cyclical-worries,AN," Apr. 25, 2017, 12:06 PM ",AutoNation Looking Cheap From Cyclical Worries,Long
 Trent Eady,/article/4063067-tesla-undervalued-self-driving-car-company,TSLA," Apr. 25, 2017, 11:54 AM ",Tesla Is Undervalued As A Self-Driving Car Company,Long
 Morningsidepark,/article/4064962-dryships-inc-ges-end-game,DRYS," Apr. 25, 2017, 11:53 AM ",DryShips Inc: What Is GE's End Game,Long
 David Trainer,/article/4064943-carters-undervalued-retailer-nearly-7-percent-yield,CRI," Apr. 25, 2017, 11:04 AM ",Carter's: Undervalued Retailer With Nearly 7% Yield,Long
 James Sands,/article/4064939-sprouts-farmers-market-stay-course-market-fundamentals-set-improve,SFM," Apr. 25, 2017, 10:48 AM ","Sprouts Farmers Market - Stay The Course, As Market Fundamentals Are Set To Improve",Long
 Risk Hunter,/article/4063039-compelling-equity-pick-urstadt-biddle-properties,"UBA, UBP"," Apr. 25, 2017, 10:41 AM ",My Most Compelling Equity Pick: Urstadt Biddle Properties,Long
 DrillBit Research,/article/4064934-apaches-alpine-high-update-damn-skeptics-full-speed-ahead,APA," Apr. 25, 2017, 10:37 AM ",Apache's Alpine High Update: Damn The Skeptics - Full Speed Ahead,Long
 Jonathan Faison,/article/4064925-neuroderm-top-momentum-biotech-2017,NDRM," Apr. 25, 2017, 10:33 AM ",Neuroderm: A Top Momentum Biotech For 2017,Long
 Philip Davis,/article/4064927-terrific-tuesday-markets-go-roof,GILD," Apr. 25, 2017, 10:10 AM ",Terrific Tuesday - Markets Go Through The Roof,Long
 Orthodox Investor,/article/4064913-chesapeake-energy-decision-anything-worried,CHK," Apr. 25, 2017, 10:01 AM ",Chesapeake Energy: Is This Decision Anything To Be Worried About?,Long
 Nicholas Klemm,/article/4064910-boston-beer-company-undervalued,SAM," Apr. 25, 2017, 10:00 AM ",Why Boston Beer Company Is Undervalued,Long
" Apr. 25, 2017, 9:53 AM ",/article/4064555-banyan-tree-asset-light-strategy-asias-boutique-hospitality-company-bolstered-new-alliances,Editors' Pick ," BYNEY, BYNEF",Banyan Tree: Asset-Light Strategy Of Asia's Boutique Hospitality Company Bolstered By New Alliances,Long
 Savva Cherdantsev,/article/4064915-exco-technologies-regulations-favor-value,EXCOF," Apr. 25, 2017, 9:34 AM ",Exco Technologies. Regulations Favor The Value,Long
 James Hanshaw,/article/4062994-mastec-connected-age,MTZ," Apr. 25, 2017, 9:30 AM ",MasTec In The Connected Age,Long
 Gary Bourgeault,/article/4064872-cliffs-natural-resources-infrastructure-tariffs-future-outlook,CLF," Apr. 25, 2017, 8:42 AM ","Cliffs Natural Resources: Infrastructure, Tariffs, And Its Future Outlook",Long
