Date,Close,Tickers
1/10/17,795.900024,AMZN
1/11/17,799.02002,AMZN
1/12/17,813.6400150000001,AMZN
1/13/17,817.1400150000001,AMZN
1/17/17,809.719971,AMZN
1/18/17,807.47998,AMZN
1/19/17,809.039978,AMZN
1/20/17,808.330017,AMZN
1/23/17,817.880005,AMZN
1/24/17,822.4400019999999,AMZN
1/25/17,836.52002,AMZN
1/26/17,839.150024,AMZN
1/27/17,835.77002,AMZN
1/30/17,830.380005,AMZN
1/31/17,823.47998,AMZN
2/1/17,832.349976,AMZN
2/2/17,839.9500119999999,AMZN
2/3/17,810.200012,AMZN
2/6/17,807.6400150000001,AMZN
2/7/17,812.5,AMZN
2/8/17,819.710022,AMZN
2/9/17,821.3599849999999,AMZN
2/10/17,827.460022,AMZN
2/13/17,836.530029,AMZN
2/14/17,836.3900150000001,AMZN
2/15/17,842.7000119999999,AMZN
2/16/17,844.1400150000001,AMZN
2/17/17,845.070007,AMZN
2/21/17,856.4400019999999,AMZN
2/22/17,855.6099849999999,AMZN
2/23/17,852.1900019999999,AMZN
2/24/17,845.23999,AMZN
2/27/17,848.6400150000001,AMZN
2/28/17,845.0399779999999,AMZN
3/1/17,853.080017,AMZN
3/2/17,848.909973,AMZN
3/3/17,849.8800050000001,AMZN
3/6/17,846.6099849999999,AMZN
3/7/17,846.0200199999999,AMZN
3/8/17,850.5,AMZN
3/9/17,853.0,AMZN
3/10/17,852.4600220000001,AMZN
3/13/17,854.590027,AMZN
3/14/17,852.5300289999999,AMZN
3/15/17,852.9699710000001,AMZN
3/16/17,853.419983,AMZN
3/17/17,852.3099980000001,AMZN
3/20/17,856.9699710000001,AMZN
3/21/17,843.2000119999999,AMZN
3/22/17,848.0599980000001,AMZN
3/23/17,847.3800050000001,AMZN
3/24/17,845.6099849999999,AMZN
3/27/17,846.820007,AMZN
3/28/17,856.0,AMZN
3/29/17,874.320007,AMZN
3/30/17,876.340027,AMZN
3/31/17,886.5399779999999,AMZN
3/2/15,16.01,BAC
3/3/15,16.040001,BAC
3/4/15,15.84,BAC
3/5/15,16.0,BAC
3/6/15,16.219998999999998,BAC
3/9/15,16.17,BAC
3/10/15,15.79,BAC
3/11/15,16.110001,BAC
